"","ck.rcp26","dk.rcp26","t0.rcp26","ck.rcp85","dk.rcp85","t0.rcp85"
"Colorado",1.31460886070097,-0.155217242646041,201.760883639015,5.15247132647548,0.456888377732022,248.901075518516
"SheepRiver",1.53859382959077,-0.25949549403979,210.609583489528,5.18768033901705,0.510353448971006,213.917735226335
"SheepMountain",1.68888202606464,-0.17820689740121,177.990659738156,5.39224369970279,-0.503779788655171,173.561610985934
"Dawson",1.89593839459928,-0.383443046909037,210.254066216105,6.12738913390651,-1.67144204904743,190.378375605603
