"","model","season","tas25","tas50","tas75"
"1","rcp26","DJF",0.761628031730652,1.46732115745544,1.92532384395599
"2","rcp26","MAM",0.918203473091125,1.33141696453094,1.76480960845947
"3","rcp26","JJA",0.827185273170471,1.15808475017548,1.61090195178986
"4","rcp26","SON",0.633452713489532,1.30328834056854,1.72627639770508
"5","rcp85","DJF",3.6716730594635,4.90810394287109,5.40411806106567
"6","rcp85","MAM",3.78109121322632,4.74736309051514,5.35049962997437
"7","rcp85","JJA",4.72194910049438,5.477294921875,6.45489168167114
"8","rcp85","SON",4.47962713241577,5.46546077728271,6.20286464691162
