"","model","season","tas25","tas50","tas75"
"1","rcp26","DJF",0.883684933185577,1.85477864742279,2.49240756034851
"2","rcp26","MAM",1.19309234619141,1.53827810287476,1.91464412212372
"3","rcp26","JJA",0.787075638771057,1.3499813079834,2.00263023376465
"4","rcp26","SON",0.800161719322205,1.41508865356445,1.90282249450684
"5","rcp85","DJF",4.34803152084351,5.17049694061279,5.95972633361816
"6","rcp85","MAM",3.77489829063416,4.55788660049438,5.39046239852905
"7","rcp85","JJA",4.87648010253906,6.14276742935181,7.21252489089966
"8","rcp85","SON",4.44893789291382,4.87153577804565,6.10770034790039
